category,round,year,codprov,name_prov,depto,coddepto,electores,listas,votos
dip,gral,2015,23,TUCUMAN,Alberdi,007,23747,0131,9883
dip,gral,2015,23,TUCUMAN,Alberdi,007,23747,0135,4650
dip,gral,2015,23,TUCUMAN,Alberdi,007,23747,0137,187
dip,gral,2015,23,TUCUMAN,Alberdi,007,23747,0177,1944
dip,gral,2015,23,TUCUMAN,Alberdi,007,23747,blancos,2267
dip,gral,2015,23,TUCUMAN,Alberdi,007,23747,nulos,89
dip,gral,2015,23,TUCUMAN,Burruyacu,013,32349,0131,16915
dip,gral,2015,23,TUCUMAN,Burruyacu,013,32349,0135,3968
dip,gral,2015,23,TUCUMAN,Burruyacu,013,32349,0137,165
dip,gral,2015,23,TUCUMAN,Burruyacu,013,32349,0177,1955
dip,gral,2015,23,TUCUMAN,Burruyacu,013,32349,blancos,2529
dip,gral,2015,23,TUCUMAN,Burruyacu,013,32349,nulos,48
dip,gral,2015,23,TUCUMAN,Capital,001,438405,0131,105213
dip,gral,2015,23,TUCUMAN,Capital,001,438405,0135,129113
dip,gral,2015,23,TUCUMAN,Capital,001,438405,0137,14157
dip,gral,2015,23,TUCUMAN,Capital,001,438405,0177,40977
dip,gral,2015,23,TUCUMAN,Capital,001,438405,blancos,53610
dip,gral,2015,23,TUCUMAN,Capital,001,438405,nulos,2431
dip,gral,2015,23,TUCUMAN,Chicligasta,005,63461,0131,27377
dip,gral,2015,23,TUCUMAN,Chicligasta,005,63461,0135,13025
dip,gral,2015,23,TUCUMAN,Chicligasta,005,63461,0137,568
dip,gral,2015,23,TUCUMAN,Chicligasta,005,63461,0177,3783
dip,gral,2015,23,TUCUMAN,Chicligasta,005,63461,blancos,7270
dip,gral,2015,23,TUCUMAN,Chicligasta,005,63461,nulos,253
dip,gral,2015,23,TUCUMAN,Cruz Alta,012,146500,0131,60937
dip,gral,2015,23,TUCUMAN,Cruz Alta,012,146500,0135,24116
dip,gral,2015,23,TUCUMAN,Cruz Alta,012,146500,0137,2513
dip,gral,2015,23,TUCUMAN,Cruz Alta,012,146500,0177,11157
dip,gral,2015,23,TUCUMAN,Cruz Alta,012,146500,blancos,18989
dip,gral,2015,23,TUCUMAN,Cruz Alta,012,146500,nulos,611
dip,gral,2015,23,TUCUMAN,Famaillá,003,27736,0131,12303
dip,gral,2015,23,TUCUMAN,Famaillá,003,27736,0135,3518
dip,gral,2015,23,TUCUMAN,Famaillá,003,27736,0137,376
dip,gral,2015,23,TUCUMAN,Famaillá,003,27736,0177,1736
dip,gral,2015,23,TUCUMAN,Famaillá,003,27736,blancos,3943
dip,gral,2015,23,TUCUMAN,Famaillá,003,27736,nulos,148
dip,gral,2015,23,TUCUMAN,Graneros,009,11018,0131,6351
dip,gral,2015,23,TUCUMAN,Graneros,009,11018,0135,1087
dip,gral,2015,23,TUCUMAN,Graneros,009,11018,0137,37
dip,gral,2015,23,TUCUMAN,Graneros,009,11018,0177,523
dip,gral,2015,23,TUCUMAN,Graneros,009,11018,blancos,839
dip,gral,2015,23,TUCUMAN,Graneros,009,11018,nulos,15
dip,gral,2015,23,TUCUMAN,La Cocha,008,15189,0131,7422
dip,gral,2015,23,TUCUMAN,La Cocha,008,15189,0135,2440
dip,gral,2015,23,TUCUMAN,La Cocha,008,15189,0137,65
dip,gral,2015,23,TUCUMAN,La Cocha,008,15189,0177,1099
dip,gral,2015,23,TUCUMAN,La Cocha,008,15189,blancos,1081
dip,gral,2015,23,TUCUMAN,La Cocha,008,15189,nulos,53
dip,gral,2015,23,TUCUMAN,Leales,011,45258,0131,22358
dip,gral,2015,23,TUCUMAN,Leales,011,45258,0135,6266
dip,gral,2015,23,TUCUMAN,Leales,011,45258,0137,437
dip,gral,2015,23,TUCUMAN,Leales,011,45258,0177,3329
dip,gral,2015,23,TUCUMAN,Leales,011,45258,blancos,4705
dip,gral,2015,23,TUCUMAN,Leales,011,45258,nulos,182
